"","Area","Region","YearPeriod","AVG_Percent"
"1217","Gambia","Africa","Y20192021","107"
"1218","Gambia","Africa","Y20202022","106"
"1219","Ghana","Africa","Y20002002","114"
"1220","Ghana","Africa","Y20012003","116"
"1221","Ghana","Africa","Y20022004","118"
"1222","Ghana","Africa","Y20032005","119"
"1223","Ghana","Africa","Y20042006","121"
"1224","Ghana","Africa","Y20052007","123"
"1225","Ghana","Africa","Y20062008","125"
"1226","Ghana","Africa","Y20072009","128"
"1227","Ghana","Africa","Y20082010","130"
"1228","Ghana","Africa","Y20092011","130"
"1229","Ghana","Africa","Y20102012","129"
"1230","Ghana","Africa","Y20112013","128"
"1231","Ghana","Africa","Y20122014","127"
"1232","Ghana","Africa","Y20132015","125"
"1233","Ghana","Africa","Y20142016","124"
"1234","Ghana","Africa","Y20152017","124"
"1235","Ghana","Africa","Y20162018","126"
"1236","Ghana","Africa","Y20172019","129"
"1237","Ghana","Africa","Y20182020","132"
"1238","Ghana","Africa","Y20192021","133"
"1239","Ghana","Africa","Y20202022","135"
"1240","Guinea","Africa","Y20002002","116"
"1241","Guinea","Africa","Y20012003","116"
"1242","Guinea","Africa","Y20022004","117"
"1243","Guinea","Africa","Y20032005","118"
"1244","Guinea","Africa","Y20042006","120"
"1245","Guinea","Africa","Y20052007","121"
"1246","Guinea","Africa","Y20062008","123"
"1247","Guinea","Africa","Y20072009","124"
"1248","Guinea","Africa","Y20082010","121"
"1249","Guinea","Africa","Y20092011","118"
"1250","Guinea","Africa","Y20102012","115"
"1251","Guinea","Africa","Y20112013","118"
"1252","Guinea","Africa","Y20122014","119"
"1253","Guinea","Africa","Y20132015","120"
"1254","Guinea","Africa","Y20142016","121"
"1255","Guinea","Africa","Y20152017","121"
"1256","Guinea","Africa","Y20162018","123"
"1257","Guinea","Africa","Y20172019","125"
"1258","Guinea","Africa","Y20182020","127"
"1259","Guinea","Africa","Y20192021","129"
"1260","Guinea","Africa","Y20202022","129"
"1261","Guinea-Bissau","Africa","Y20002002","111"
"1262","Guinea-Bissau","Africa","Y20012003","110"
"1263","Guinea-Bissau","Africa","Y20022004","110"
"1264","Guinea-Bissau","Africa","Y20032005","110"
"1265","Guinea-Bissau","Africa","Y20042006","110"
"1266","Guinea-Bissau","Africa","Y20052007","110"
"1267","Guinea-Bissau","Africa","Y20062008","110"
"1268","Guinea-Bissau","Africa","Y20072009","110"
"1269","Guinea-Bissau","Africa","Y20082010","106"
"1270","Guinea-Bissau","Africa","Y20092011","101"
"1271","Guinea-Bissau","Africa","Y20102012","97"
"1272","Guinea-Bissau","Africa","Y20112013","95"
"1273","Guinea-Bissau","Africa","Y20122014","93"
"1274","Guinea-Bissau","Africa","Y20132015","92"
"1275","Guinea-Bissau","Africa","Y20142016","92"
"1276","Guinea-Bissau","Africa","Y20152017","93"
