"","Area","Region","YearPeriod","AVG_PercentFemale","AVG_PercentMale"
"261","Burundi","Africa","Y20082010","",""
"262","Burundi","Africa","Y20092011","",""
"263","Burundi","Africa","Y20102012","",""
"264","Burundi","Africa","Y20112013","",""
"265","Burundi","Africa","Y20122014","",""
"266","Burundi","Africa","Y20132015","",""
"267","Burundi","Africa","Y20142016","",""
"268","Burundi","Africa","Y20152017","",""
"269","Burundi","Africa","Y20162018","",""
"270","Burundi","Africa","Y20172019","",""
"271","Burundi","Africa","Y20182020","",""
"272","Burundi","Africa","Y20192021","",""
"273","Burundi","Africa","Y20202022","",""
"274","Cabo Verde","Africa","Y20002002","",""
"275","Cabo Verde","Africa","Y20012003","",""
"276","Cabo Verde","Africa","Y20022004","",""
"277","Cabo Verde","Africa","Y20032005","",""
"278","Cabo Verde","Africa","Y20042006","",""
"279","Cabo Verde","Africa","Y20052007","",""
"280","Cabo Verde","Africa","Y20062008","",""
"281","Cabo Verde","Africa","Y20072009","",""
"282","Cabo Verde","Africa","Y20082010","",""
"283","Cabo Verde","Africa","Y20092011","",""
"284","Cabo Verde","Africa","Y20102012","",""
"285","Cabo Verde","Africa","Y20112013","",""
"286","Cabo Verde","Africa","Y20122014","",""
"287","Cabo Verde","Africa","Y20132015","",""
"288","Cabo Verde","Africa","Y20142016","",""
"289","Cabo Verde","Africa","Y20152017","",""
"290","Cabo Verde","Africa","Y20162018","9.6","9.6"
"291","Cabo Verde","Africa","Y20172019","8.6","8.6"
"292","Cabo Verde","Africa","Y20182020","7.6","7.6"
"293","Cabo Verde","Africa","Y20192021","6.4","6.4"
"294","Cabo Verde","Africa","Y20202022","6.3","6.3"
"295","Cameroon","Africa","Y20002002","",""
"296","Cameroon","Africa","Y20012003","",""
"297","Cameroon","Africa","Y20022004","",""
"298","Cameroon","Africa","Y20032005","",""
"299","Cameroon","Africa","Y20042006","",""
"300","Cameroon","Africa","Y20052007","",""
"301","Cameroon","Africa","Y20062008","",""
"302","Cameroon","Africa","Y20072009","",""
"303","Cameroon","Africa","Y20082010","",""
"304","Cameroon","Africa","Y20092011","",""
"305","Cameroon","Africa","Y20102012","",""
"306","Cameroon","Africa","Y20112013","",""
"307","Cameroon","Africa","Y20122014","",""
"308","Cameroon","Africa","Y20132015","",""
"309","Cameroon","Africa","Y20142016","21.4","21.4"
"310","Cameroon","Africa","Y20152017","25.5","25.5"
"311","Cameroon","Africa","Y20162018","27","27"
"312","Cameroon","Africa","Y20172019","26.9","26.9"
"313","Cameroon","Africa","Y20182020","26.1","26.1"
"314","Cameroon","Africa","Y20192021","25.6","25.6"
"315","Cameroon","Africa","Y20202022","25.5","25.5"
"316","Central African Republic","Africa","Y20002002","",""
"317","Central African Republic","Africa","Y20012003","",""
"318","Central African Republic","Africa","Y20022004","",""
"319","Central African Republic","Africa","Y20032005","",""
"320","Central African Republic","Africa","Y20042006","",""
"321","Central African Republic","Africa","Y20052007","",""
"322","Central African Republic","Africa","Y20062008","",""
"323","Central African Republic","Africa","Y20072009","",""
"324","Central African Republic","Africa","Y20082010","",""
"325","Central African Republic","Africa","Y20092011","",""
"326","Central African Republic","Africa","Y20102012","",""
"327","Central African Republic","Africa","Y20112013","",""
"328","Central African Republic","Africa","Y20122014","",""
"329","Central African Republic","Africa","Y20132015","",""
"330","Central African Republic","Africa","Y20142016","",""
"331","Central African Republic","Africa","Y20152017","",""
"332","Central African Republic","Africa","Y20162018","",""
"333","Central African Republic","Africa","Y20172019","",""
"334","Central African Republic","Africa","Y20182020","61.8","61.8"
"335","Central African Republic","Africa","Y20192021","61.8","61.8"
"336","Central African Republic","Africa","Y20202022","61.8","61.8"
"337","Chad","Africa","Y20002002","",""
"338","Chad","Africa","Y20012003","",""
"339","Chad","Africa","Y20022004","",""
"340","Chad","Africa","Y20032005","",""
"341","Chad","Africa","Y20042006","",""
"342","Chad","Africa","Y20052007","",""
"343","Chad","Africa","Y20062008","",""
"344","Chad","Africa","Y20072009","",""
"345","Chad","Africa","Y20082010","",""
